Group00_Index,Channel_Name,Crate,Card,Channel,Vset,Enabled,Flagged,Groups,,,,,,
146,WB_024,0,9,2,1420,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
147,WB_018,0,9,3,1341,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
148,WB_027,0,9,4,1469,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
149,WB_008,0,9,5,1530,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
150,WB_030,0,9,6,1621,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
151,WB_011,0,9,7,1687,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
152,WB_033,0,9,8,1627,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
153,WB_005,0,9,9,1312,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
154,WB_032,0,9,10,1311,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
155,WB_001,0,9,11,1465,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
156,WB_044,0,9,12,1480,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
157,WB_047,0,9,13,1480,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
158,WB_012,0,9,14,1298,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
159,WB_016,0,9,15,1401,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
160,MRD_x0_y0_z8,1,0,0,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
161,MRD_x0_y1_z8,1,0,1,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
162,MRD_x0_y2_z8,1,0,2,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
163,MRD_x0_y3_z8,1,0,3,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
164,MRD_x0_y4_z8,1,0,4,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
165,MRD_x0_y5_z8,1,0,5,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
166,MRD_x0_y6_z8,1,0,6,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
167,MRD_x0_y7_z8,1,0,7,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
168,MRD_x0_y8_z8,1,0,8,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
169,MRD_x0_y9_z8,1,0,9,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
170,MRD_x0_y10_z8,1,0,10,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
171,MRD_x0_y11_z8,1,0,11,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
172,MRD_x0_y12_z8,1,0,12,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
173,CH_1_0_13,1,0,13,0,1,0,GROUP00;LeCroy1,,,,,,
174,CH_1_0_14,1,0,14,0,1,0,GROUP00;LeCroy1,,,,,,
175,CH_1_0_15,1,0,15,0,1,0,GROUP00;LeCroy1,,,,,,
